,Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
,Rotation A,Rotation A.1
0,"2,000 Credits Cache",Common (50.00%)
1,100 Endo,Common (50.00%)
2,Rotation B,Rotation B
3,Parry,Rare (7.69%)
4,Steel Fiber,Rare (7.69%)
5,Serration,Rare (7.69%)
6,Incendiary Coat,Rare (7.69%)
7,Hornet Strike,Rare (7.69%)
8,Intensify,Rare (7.69%)
9,Lith G6 Relic,Rare (7.69%)
10,Lith H8 Relic,Rare (7.69%)
11,Lith S15 Relic,Rare (7.69%)
12,Lith S14 Relic,Rare (7.69%)
13,Lith B11 Relic,Rare (7.69%)
14,Lith K10 Relic,Rare (7.69%)
15,Lith R3 Relic,Rare (7.69%)
16,Rotation C,Rotation C
17,Arrow Mutation,Rare (3.76%)
18,Rifle Ammo Mutation,Rare (3.76%)
19,Sniper Ammo Mutation,Rare (3.76%)
20,Shotgun Ammo Mutation,Rare (3.76%)
21,Pistol Ammo Mutation,Rare (3.76%)
22,Cleanse Grineer,Rare (3.76%)
23,Lith G6 Relic,Uncommon (11.06%)
24,Lith H8 Relic,Uncommon (11.06%)
25,Lith S15 Relic,Uncommon (11.06%)
26,Lith S14 Relic,Uncommon (11.06%)
27,Lith B11 Relic,Uncommon (11.06%)
28,Lith K10 Relic,Uncommon (11.06%)
29,Lith R3 Relic,Uncommon (11.06%)
30,,
31,Mercury/Lares (Defense),Mercury/Lares (Defense)
32,Rotation A,Rotation A
33,Magazine Warp,Rare (9.09%)
34,Trick Mag,Rare (9.09%)
35,Pressure Point,Rare (9.09%)
36,Ammo Drum,Rare (9.09%)
37,Lith G6 Relic,Rare (9.09%)
38,Lith H8 Relic,Rare (9.09%)
39,Lith S15 Relic,Rare (9.09%)
40,Lith S14 Relic,Rare (9.09%)
41,Lith B11 Relic,Rare (9.09%)
42,Lith K10 Relic,Rare (9.09%)
43,Lith R3 Relic,Rare (9.09%)
44,Rotation B,Rotation B
45,Reflex Coil,Rare (8.33%)
46,Cryo Rounds,Rare (8.33%)
47,Hell's Chamber,Rare (8.33%)
48,Shocking Touch,Rare (8.33%)
49,100 Endo,Rare (8.33%)
50,Meso P11 Relic,Rare (8.33%)
51,Meso H4 Relic,Rare (8.33%)
52,Meso N14 Relic,Rare (8.33%)
53,Meso P10 Relic,Rare (8.33%)
54,Meso D7 Relic,Rare (8.33%)
55,Meso K4 Relic,Rare (8.33%)
56,Meso S12 Relic,Rare (8.33%)
57,Rotation C,Rotation C
58,Metal Auger,Rare (8.33%)
59,Ravage,Rare (8.33%)
60,Continuity,Rare (8.33%)
61,Master Thief,Rare (8.33%)
62,200 Endo,Rare (8.33%)
63,Meso P11 Relic,Rare (8.33%)
64,Meso H4 Relic,Rare (8.33%)
65,Meso N14 Relic,Rare (8.33%)
66,Meso P10 Relic,Rare (8.33%)
67,Meso D7 Relic,Rare (8.33%)
68,Meso K4 Relic,Rare (8.33%)
69,Meso S12 Relic,Rare (8.33%)
70,,
71,Mercury/Caloris (Rescue),Mercury/Caloris (Rescue)
72,Rotation B,Rotation B
73,Vapor Specter Blueprint,Very Common (100.00%)
74,Rotation C,Rotation C
75,Phase Specter Blueprint,Very Common (100.00%)
76,,
77,Mercury/Elion (Capture),Mercury/Elion (Capture)
78,Vitality,Uncommon (10.84%)
79,Fast Deflection,Uncommon (10.84%)
80,Rush,Uncommon (11.06%)
81,Magazine Warp,Uncommon (10.84%)
82,Trick Mag,Uncommon (10.84%)
83,Pressure Point,Legendary (0.34%)
84,Ammo Drum,Uncommon (11.06%)
85,Fast Hands,Uncommon (10.84%)
86,Quickdraw,Uncommon (10.84%)
87,Health Restore (Large),Uncommon (10.84%)
88,Omni Ammo Box,Legendary (0.34%)
89,North Wind,Legendary (0.34%)
90,Shocking Touch,Legendary (0.34%)
91,Molten Impact,Legendary (0.34%)
92,Stretch,Legendary (0.34%)
93,,
94,Mercury/Terminus (Caches),Mercury/Terminus (Caches)
95,Rotation A,Rotation A
96,"2,500 Credits Cache",Very Common (100.00%)
97,Rotation B,Rotation B
98,400 Endo,Uncommon (12.65%)
99,400 Endo,Uncommon (12.65%)
100,400 Endo,Uncommon (12.65%)
101,400 Endo,Uncommon (22.11%)
102,400 Endo,Ultra Rare (1.01%)
103,400 Endo,Ultra Rare (1.01%)
104,240X Polymer Bundle,Uncommon (12.65%)
105,750X Circuits,Uncommon (12.65%)
106,750X Alloy Plate,Uncommon (12.65%)
107,Rotation C,Rotation C
108,80 Endo,Uncommon (15.10%)
109,150 Endo,Uncommon (15.10%)
110,Morphics,Uncommon (15.10%)
111,Gallium,Uncommon (15.10%)
112,Neurodes,Uncommon (15.10%)
113,2X Morphics,Rare (5.50%)
114,2X Gallium,Rare (5.50%)
115,2X Neurodes,Rare (5.50%)
116,160 Endo,Rare (5.50%)
117,Argon Crystal,Legendary (0.67%)
118,Tellurium,Legendary (0.67%)
119,Nitain Extract,Legendary (0.67%)
120,Xiphos Fuselage Blueprint,Legendary (0.50%)
121,,
122,Mercury/Tolstoj (Assassination),Mercury/Tolstoj (Assassination)
123,Seer Blueprint,Common (38.72%)
124,Seer Barrel,Common (38.72%)
125,Seer Receiver,Uncommon (22.56%)
126,,
