,Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
0,Akstiletto Prime Barrel,Uncommon (11.00%)
1,Trinity Prime Systems Blueprint,Uncommon (25.33%)
2,Fragor Prime Head,Uncommon (25.33%)
3,Dual Kamas Prime Handle,Uncommon (11.00%)
4,Braton Prime Stock,Uncommon (25.33%)
5,Nikana Prime Blueprint,Rare (2.00%)
6,,
7,Axi A1 Relic (Exceptional),Axi A1 Relic (Exceptional)
8,Akstiletto Prime Barrel,Uncommon (13.00%)
9,Trinity Prime Systems Blueprint,Uncommon (23.33%)
10,Fragor Prime Head,Uncommon (23.33%)
11,Dual Kamas Prime Handle,Uncommon (13.00%)
12,Braton Prime Stock,Uncommon (23.33%)
13,Nikana Prime Blueprint,Rare (4.00%)
14,,
15,Axi A1 Relic (Flawless),Axi A1 Relic (Flawless)
16,Akstiletto Prime Barrel,Uncommon (17.00%)
17,Trinity Prime Systems Blueprint,Uncommon (20.00%)
18,Fragor Prime Head,Uncommon (20.00%)
19,Dual Kamas Prime Handle,Uncommon (17.00%)
20,Braton Prime Stock,Uncommon (20.00%)
21,Nikana Prime Blueprint,Rare (6.00%)
22,,
23,Axi A1 Relic (Radiant),Axi A1 Relic (Radiant)
24,Akstiletto Prime Barrel,Uncommon (20.00%)
25,Trinity Prime Systems Blueprint,Uncommon (16.67%)
26,Fragor Prime Head,Uncommon (16.67%)
27,Dual Kamas Prime Handle,Uncommon (20.00%)
28,Braton Prime Stock,Uncommon (16.67%)
29,Nikana Prime Blueprint,Uncommon (10.00%)
30,,
31,Axi A10 Relic (Intact),Axi A10 Relic (Intact)
32,Aksomati Prime Link,Rare (2.00%)
33,Wukong Prime Chassis Blueprint,Uncommon (11.00%)
34,Paris Prime Grip,Uncommon (11.00%)
35,Akbronco Prime Blueprint,Uncommon (25.33%)
36,Forma Blueprint,Uncommon (25.33%)
37,Stradavar Prime Receiver,Uncommon (25.33%)
38,,
39,Axi A10 Relic (Exceptional),Axi A10 Relic (Exceptional)
40,Aksomati Prime Link,Rare (4.00%)
41,Wukong Prime Chassis Blueprint,Uncommon (13.00%)
42,Paris Prime Grip,Uncommon (13.00%)
43,Akbronco Prime Blueprint,Uncommon (23.33%)
44,Forma Blueprint,Uncommon (23.33%)
45,Stradavar Prime Receiver,Uncommon (23.33%)
46,,
47,Axi A10 Relic (Flawless),Axi A10 Relic (Flawless)
48,Aksomati Prime Link,Rare (6.00%)
49,Wukong Prime Chassis Blueprint,Uncommon (17.00%)
50,Paris Prime Grip,Uncommon (17.00%)
51,Akbronco Prime Blueprint,Uncommon (20.00%)
52,Forma Blueprint,Uncommon (20.00%)
53,Stradavar Prime Receiver,Uncommon (20.00%)
54,,
55,Axi A10 Relic (Radiant),Axi A10 Relic (Radiant)
56,Aksomati Prime Link,Uncommon (10.00%)
57,Wukong Prime Chassis Blueprint,Uncommon (20.00%)
58,Paris Prime Grip,Uncommon (20.00%)
59,Akbronco Prime Blueprint,Uncommon (16.67%)
60,Forma Blueprint,Uncommon (16.67%)
61,Stradavar Prime Receiver,Uncommon (16.67%)
62,,
63,Axi A11 Relic (Intact),Axi A11 Relic (Intact)
64,Atlas Prime Neuroptics Blueprint,Rare (2.00%)
65,Pangolin Prime Blade,Uncommon (11.00%)
66,Wukong Prime Systems Blueprint,Uncommon (11.00%)
67,Zhuge Prime String,Uncommon (25.33%)
68,Fang Prime Blueprint,Uncommon (25.33%)
69,Burston Prime Receiver,Uncommon (25.33%)
70,,
71,Axi A11 Relic (Exceptional),Axi A11 Relic (Exceptional)
72,Atlas Prime Neuroptics Blueprint,Rare (4.00%)
73,Pangolin Prime Blade,Uncommon (13.00%)
74,Wukong Prime Systems Blueprint,Uncommon (13.00%)
75,Zhuge Prime String,Uncommon (23.33%)
76,Fang Prime Blueprint,Uncommon (23.33%)
77,Burston Prime Receiver,Uncommon (23.33%)
78,,
79,Axi A11 Relic (Flawless),Axi A11 Relic (Flawless)
80,Atlas Prime Neuroptics Blueprint,Rare (6.00%)
81,Pangolin Prime Blade,Uncommon (17.00%)
82,Wukong Prime Systems Blueprint,Uncommon (17.00%)
83,Zhuge Prime String,Uncommon (20.00%)
84,Fang Prime Blueprint,Uncommon (20.00%)
85,Burston Prime Receiver,Uncommon (20.00%)
86,,
87,Axi A11 Relic (Radiant),Axi A11 Relic (Radiant)
88,Atlas Prime Neuroptics Blueprint,Uncommon (10.00%)
89,Pangolin Prime Blade,Uncommon (20.00%)
90,Wukong Prime Systems Blueprint,Uncommon (20.00%)
91,Zhuge Prime String,Uncommon (16.67%)
92,Fang Prime Blueprint,Uncommon (16.67%)
93,Burston Prime Receiver,Uncommon (16.67%)
94,,
95,Axi A12 Relic (Intact),Axi A12 Relic (Intact)
96,Akbolto Prime Receiver,Rare (2.00%)
97,Helios Prime Systems,Uncommon (11.00%)
98,Banshee Prime Blueprint,Uncommon (11.00%)
99,Forma Blueprint,Uncommon (25.33%)
100,Mirage Prime Chassis Blueprint,Uncommon (25.33%)
